block_size,tokens_per_step,problem_idx,tier,n_tokens,stop,repeat4,boxed,correct,progress,redundancy,coverage
16,4,36,hard,768,budget,0.8875379939209727,0,0,0.057977103565244846,0.9747544868803303,0.19147305222872174
16,4,37,hard,480,box,0.2053571428571429,1,0,0.7142857142857143,0.332371739086692,0.581068357384014
16,4,38,hard,448,collapse,0.9035294117647059,0,0,-0.6546536707079772,0.0,0.31164430015721234
16,4,39,hard,576,collapse,0.9006211180124224,0,0,-0.6546536707079772,0.9682937085878675,0.1282660532585037
16,8,0,easy,176,collapse,0.9011627906976745,0,0,-0.6546536707079772,0.971364426925432,0.21220112413801595
16,8,1,easy,320,collapse,0.9019607843137255,0,0,-0.6546536707079772,0.0,0.6844472506853146
16,8,2,easy,768,budget,0.18518518518518523,0,0,-0.5428571428571429,0.04637798697584053,0.4630309939771273
16,8,3,easy,768,budget,0.879182156133829,0,0,-0.6546536707079772,0.0,0.344074082549406
16,8,4,easy,352,collapse,0.9012738853503185,0,0,-0.6546536707079772,0.0,0.6100395308034274
16,8,5,easy,768,budget,0.0,0,0,-0.4285714285714286,0.07520826494327722,0.28971133551830763
16,8,6,easy,464,collapse,0.9006772009029346,0,0,-0.16903085094570333,0.9871475924562861,0.2400398074895987
16,8,7,easy,768,budget,0.0,0,0,-0.2571428571428572,0.10424072202975707,0.43324106957747444
16,8,8,easy,768,budget,0.0,0,0,nan,nan,nan
16,8,9,easy,768,budget,0.8558558558558559,0,0,-0.6546536707079772,0.004233618752803837,0.2686221668917528
16,8,10,easy,336,collapse,0.9027355623100304,0,0,-0.16903085094570333,0.9754647726876173,0.04089935313082387
16,8,11,easy,768,budget,0.19999999999999996,0,0,-0.6546536707079772,0.0,0.32081759636181717
16,8,12,easy,768,budget,0.8993288590604027,0,0,0.0,0.949187409487541,0.16052067982289905
16,8,13,easy,768,budget,0.0,0,0,nan,nan,nan
16,8,14,easy,320,collapse,0.9050632911392404,0,0,-0.6546536707079772,0.9770607411173866,0.1943001959808136
16,8,15,easy,64,eos,0.0,0,0,0.6571428571428573,0.23947621246634962,0.40335716831615137
16,8,16,easy,224,eos,0.008849557522123908,0,0,0.08571428571428573,0.09816333842243331,0.5311481830788596
16,8,17,easy,608,collapse,0.9015817223198594,0,0,-0.6546536707079772,0.0,0.6358859676344335
16,8,18,easy,560,collapse,0.9014869888475836,0,0,-0.6546536707079772,0.0,0.36349126589897063
16,8,19,easy,768,budget,0.8631123919308358,0,0,-0.6546536707079772,0.0,0.513026251895404
16,8,20,medium,528,collapse,0.90020366598778,0,0,-0.6546536707079772,0.0,0.4504724848044674
16,8,21,medium,416,collapse,0.9002493765586035,0,0,-0.6546536707079772,0.0,0.1876999650892642
16,8,22,medium,256,collapse,0.9043478260869565,0,0,-0.6546536707079772,0.0,0.42466412726156116
16,8,23,medium,352,collapse,0.9009009009009009,0,0,-0.6546536707079772,0.0,0.354664266502826
16,8,24,medium,768,budget,0.01980198019801982,0,0,-0.3714285714285715,0.17557735995529913,0.2678438844944255
16,8,25,medium,768,budget,0.052631578947368474,0,0,0.2571428571428572,0.23823421666793745,0.2500357140199572
16,8,26,medium,768,budget,0.8881118881118881,0,0,-0.6546536707079772,0.0,0.2770228044065179
16,8,27,medium,528,collapse,0.9030303030303031,0,0,-0.6546536707079772,0.9656513795425924,0.05427550241968518
16,8,28,medium,768,budget,0.07594936708860756,0,0,-0.942857142857143,0.07217817626334196,0.09880772015128574
16,8,29,medium,416,collapse,0.9015151515151515,0,0,-0.6546536707079772,0.0,0.5124628738890719
16,8,30,hard,608,collapse,0.9023508137432188,0,0,-0.6546536707079772,0.0,0.43127956952315527
16,8,31,hard,768,budget,0.0,0,0,-0.7714285714285715,0.053078623125698415,0.3379667954477916
16,8,32,hard,32,eos,0.0,0,0,nan,nan,nan
16,8,33,hard,416,collapse,0.9037037037037037,0,0,-0.6546536707079772,0.9853919565272917,0.053650067969818215
16,8,34,hard,720,collapse,0.9011627906976745,0,0,-0.6546536707079772,0.0,0.5195207352979548
16,8,35,hard,768,budget,0.19999999999999996,0,0,nan,nan,nan
16,8,36,hard,128,collapse,0.9032258064516129,0,0,-0.6546536707079772,0.965006532128019,0.11082509012008247
16,8,37,hard,512,collapse,0.9018036072144289,0,0,-0.6546536707079772,0.0,0.5671700887907025
